path	scene_label	event_start_time	event_end_time	event_label
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	0.0	4.037666	people speaking
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	0.0	21.850174	large vehicle
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	1.772634	4.222315	people walking
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	6.684307	15.732125	car
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	21.850174	31.55042	large vehicle
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	44.118886	53.314424	car
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	44.402015	46.162339	people walking
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	50.039976	62.066804	car
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	74.278281	92.583188	large vehicle
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	93.395645	98.578137	people walking
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	96.214625	109.05391	car
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	109.12777	116.218305	car
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	116.304475	121.880886	car
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	121.733166	127.949695	large vehicle
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	130.251657	132.787508	brakes squeaking
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	131.408792	187.480647	large vehicle
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	159.167746	169.50811	car
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	166.824539	169.865099	people walking
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	184.932486	188.219245	car
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	187.480647	194.214194	large vehicle
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	193.204777	197.414783	car
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	204.505318	219.277267	car
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	217.123024	230.060789	car
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	238.136121	244.574228	car
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	244.574228	256.822636	car
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	255.197722	269.391102	large vehicle
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	269.612681	276.900176	large vehicle
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	276.247748	289.936421	large vehicle
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	285.184777	298.417981	car
TUT-sound-events-2017-development/audio/street/a124.wav	city_center	299.882866	300.953832	people speaking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	0.0	25.786823	people walking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	9.997565	16.498445	people speaking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	15.966555	17.562225	children
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	17.906969	21.915845	people speaking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	26.308863	29.7169	people walking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	30.662483	34.297065	children
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	31.489867	40.571399	people walking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	38.236993	44.32418	people speaking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	44.205982	51.780492	large vehicle
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	62.339497	66.663567	car
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	79.281183	81.349645	people walking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	84.038645	94.361254	people walking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	87.387583	92.499639	car
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	91.780602	94.361254	people speaking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	98.626225	102.388856	people speaking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	98.980819	99.680156	brakes squeaking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	101.699368	107.983552	people walking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	108.269197	128.008232	car
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	124.245601	125.811722	brakes squeaking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	126.057968	127.880184	brakes squeaking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	129.259159	130.569184	brakes squeaking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	130.293389	131.761012	people speaking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	131.534466	135.1001	people walking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	134.331815	139.030178	people speaking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	136.76472	140.320504	people walking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	138.724833	143.2262	people walking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	140.468251	145.511358	car
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	146.348592	147.698017	people speaking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	148.269307	172.42106	people walking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	161.931004	163.21148	children
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	170.076803	188.249717	people speaking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	172.42106	174.312225	children
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	179.847823	204.038975	people walking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	193.637567	197.547945	people speaking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	204.393568	209.022983	people walking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	213.4751	215.68146	children
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	216.341397	226.289713	children
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	219.897182	231.490417	people walking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	231.057025	231.569216	brakes squeaking
TUT-sound-events-2017-development/audio/street/a131.wav	city_center	240.187806	240.808345	people speaking
TUT-sound-events-2017-development/audio/street/b095.wav	city_center	0.0	2.462242	car
TUT-sound-events-2017-development/audio/street/b095.wav	city_center	1.720603	4.528943	car
TUT-sound-events-2017-development/audio/street/b095.wav	city_center	4.044405	6.08144	car
TUT-sound-events-2017-development/audio/street/b095.wav	city_center	5.755119	8.039367	car
TUT-sound-events-2017-development/audio/street/b095.wav	city_center	8.504128	12.024441	car
TUT-sound-events-2017-development/audio/street/b095.wav	city_center	11.50035	14.031811	car
TUT-sound-events-2017-development/audio/street/b095.wav	city_center	14.971221	18.046551	car
TUT-sound-events-2017-development/audio/street/b095.wav	city_center	20.251691	22.713932	people walking
